,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
14529,C537602,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2010-12-07 12:45:00,2.55,17511.0,United Kingdom
24911,C538350,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2010-12-10 15:01:00,2.55,13798.0,United Kingdom
29949,C538834,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2010-12-14 13:06:00,2.95,14415.0,United Kingdom
34292,C539329,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-500,2010-12-17 09:37:00,2.55,16013.0,United Kingdom
38444,C539576,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-24,2010-12-20 12:25:00,2.95,14911.0,EIRE
41349,C539832,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2010-12-22 13:20:00,2.55,17239.0,United Kingdom
44903,C540244,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-01-05 15:40:00,2.95,17213.0,United Kingdom
47274,C540403,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-01-07 09:32:00,2.55,17230.0,United Kingdom
53474,C540837,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-01-11 15:02:00,2.55,14733.0,United Kingdom
59911,C541415,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-01-17 16:20:00,2.55,14292.0,United Kingdom
65995,C541710,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-3,2011-01-21 11:17:00,2.95,14320.0,United Kingdom
68947,C541885,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-01-24 11:14:00,2.95,16782.0,United Kingdom
74412,C542424,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-3,2011-01-28 09:18:00,2.95,18075.0,United Kingdom
77927,C542792,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-02-01 10:49:00,2.95,14627.0,United Kingdom
79144,C542910,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-02-01 15:38:00,2.55,17511.0,United Kingdom
88216,C543791,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-02-11 17:13:00,2.55,15270.0,United Kingdom
111969,C545852,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-8,2011-03-07 13:49:00,2.95,14048.0,United Kingdom
119004,C546519,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-03-14 12:27:00,2.95,14350.0,United Kingdom
141429,C548513,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-8,2011-03-31 15:54:00,2.55,13777.0,United Kingdom
146110,C548972,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-6,2011-04-05 11:42:00,2.95,15674.0,United Kingdom
160143,C550456,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1930,2011-04-18 13:08:00,2.55,15749.0,United Kingdom
186102,C552849,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-12,2011-05-11 14:52:00,2.95,14367.0,United Kingdom
201867,C554333,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-3,2011-05-23 17:15:00,2.95,13310.0,United Kingdom
